count central banks,codewdi,country,year,time to regular turnover,number of actual turnovers,regular turnover dummy,irregular turnover dummy,time in office,legal duration,Remarks,
1,AFG,Afghanistan,2002,5,1,.,.,0,5,Appointment of Anwar-ul-Haq Ahady,
1,AFG,Afghanistan,2003,4,0,0,0,1,5,,
1,AFG,Afghanistan,2004,5,1,0,1,0,5,Appointment of Noorullah Delawari,
1,AFG,Afghanistan,2005,4,0,0,0,1,5,,
1,AFG,Afghanistan,2006,3,0,0,0,2,5,,
1,AFG,Afghanistan,2007,5,1,0,1,0,5,Appointment of Abdul Qadir Fitrat,
1,AFG,Afghanistan,2008,4,0,0,0,1,5,,
1,AFG,Afghanistan,2009,3,0,0,0,2,5,,
1,AFG,Afghanistan,2010,2,0,0,0,3,5,,
1,AFG,Afghanistan,2011,5,1,0,1,0,5,Appointment of Noorullah Delawari,
1,AFG,Afghanistan,2012,4,0,0,0,1,5,,
1,AFG,Afghanistan,2013,3,0,0,0,2,5,,
1,AFG,Afghanistan,2014,2,0,0,0,3,5,,
1,AFG,Afghanistan,2015,5,2,0,1,0,5,"Appointment of Khan Afzal Hadawal (acting), then appointment of Khalilullah Sediq",
1,AFG,Afghanistan,2016,4,0,0,0,1,5,,
1,AFG,Afghanistan,2017,3,0,0,0,2,5,,
1,AFG,Afghanistan,2018,2,0,0,0,3,5,,
1,AFG,Afghanistan,2019,5,1,0,1,0,5,Appointment of Wahidullah Nosher (acting),
1,AFG,Afghanistan,2020,5,1,0,1,0,5,Appointment of Ajmal Ahmady (acting),
1,AFG,Afghanistan,2021,5,2,0,1,0,5,"Appointment of Haji Mohammad Idris (acting), during Taliban era, then appointment of Shakir Jalali (acting), during Taliban era",
1,AFG,Afghanistan,2022,4,0,0,0,1,5,,
1,AFG,Afghanistan,2023,5,1,0,1,0,5,"Appointment of Mullah Hidayatullah Badri, during Taliban era",
2,ALB,Albania,1970,-999,-999,0,0,-999,-666,,
2,ALB,Albania,1971,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1972,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1973,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1974,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1975,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1976,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1977,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1978,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1979,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1980,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1981,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1982,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1983,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1984,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1985,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1986,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1987,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1988,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1989,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1990,-999,-999,0,0,-999,-999,,
2,ALB,Albania,1991,-999,-999,0,0,-999,-999,,
